latitude,longitude,brightness,acq_date,confidence,frp
38.763,115.89,328.5,2013-06-28 03:00:00,81,18.2
38.772,115.863,316.4,2012-04-06 03:00:00,66,7.8
38.792,115.768,312.4,2014-03-14 05:00:00,51,5.6
38.801,115.738,316.2,2012-04-06 03:00:00,65,6.6
38.801,115.739,310.4,2009-04-16 03:00:00,38,5.7
38.772,115.892,320.7,2013-06-28 03:00:00,57,8.2
38.77,115.908,312.9,2013-12-29 06:00:00,56,34
38.805,115.728,314.4,2005-03-29 03:00:00,46,8.7
38.782,115.864,319,2004-06-21 03:00:00,71,10.6
38.813,115.723,311.5,2009-10-14 05:00:00,49,16.2
38.778,115.912,314.6,2014-08-09 03:00:00,47,9.9
38.786,115.893,310.2,2009-10-23 05:00:00,32,23.6
38.789,115.883,314.4,2006-10-02 05:00:00,61,8.7
38.789,115.889,313.8,2004-10-11 03:00:00,59,14.2
38.773,115.981,314.1,2012-04-04 03:00:00,60,9.7
38.818,115.808,312.9,2005-04-01 05:00:00,56,11.6
38.8,115.906,314.8,2007-06-26 03:00:00,40,11.7
38.805,115.883,310.5,2011-02-02 05:00:00,39,16.9
38.858,115.608,326.1,2006-06-18 03:00:00,79,11.3
38.857,115.619,330.5,2006-06-18 03:00:00,83,17.2
38.808,115.878,312.7,2012-02-02 03:00:00,55,22.8
38.821,115.817,314.1,2012-03-30 03:00:00,60,9.5
38.852,115.659,323.5,2007-06-15 04:00:00,76,37.6
38.861,115.615,333.7,2007-06-15 05:00:00,86,20.2
38.825,115.811,311.9,2013-03-25 06:00:00,46,10.1
38.824,115.819,312.7,2012-03-28 03:00:00,55,8.7
38.865,115.606,323.5,2007-06-14 03:00:00,76,11.2
38.862,115.626,355.7,2007-06-15 05:00:00,98,64.3
38.811,115.9,314.5,2007-06-26 03:00:00,44,12.7
38.811,115.947,316.2,2014-08-09 03:00:00,42,11.4
38.858,115.662,330,2007-06-15 05:00:00,83,14.5
38.829,115.815,312.4,2010-11-03 06:00:00,54,21.4
38.819,115.869,326.2,2008-01-29 05:00:00,79,68.4
38.831,115.832,319.7,2010-11-03 06:00:00,71,35.8
38.822,115.886,335.2,2008-01-29 05:00:00,87,93.2
38.824,115.877,315.3,2006-03-01 05:00:00,63,17.7
38.811,115.947,316.2,2014-08-09 03:00:00,42,11.4
38.835,115.824,327.1,2010-11-03 06:00:00,80,52.7
38.873,115.627,326.9,2006-06-16 03:00:00,72,17.1
38.873,115.635,328.4,2007-06-15 05:00:00,34,10.3
38.832,115.861,311.7,2010-11-05 06:00:00,51,13.9
38.888,115.592,323,2005-06-17 03:00:00,76,14.9
38.826,115.919,319.6,2009-10-17 06:00:00,71,21.7
38.897,115.552,322.6,2014-08-09 03:00:00,53,13.9
