FID,latitude,longitude,brightness,acq_date,acq_time,confidence,frp,RASTERVALU,local_time
0,39.091999999999999,115.776000000000000,328.399999999999980,6/17/2007 0:00:00,5,81,20.199999999999999,12,13
1,39.145000000000003,115.686000000000010,309.899999999999980,6/16/2007 0:00:00,14,63,22.699999999999999,12,22
2,39.145000000000003,115.733999999999990,322.600000000000020,6/18/2006 0:00:00,3,75,8.199999999999999,12,11
3,39.122999999999998,115.938999999999990,306.699999999999990,6/16/2007 0:00:00,14,48,17.399999999999999,12,22
4,39.173999999999999,115.675000000000000,314.300000000000010,10/19/2009 0:00:00,5,61,12.900000000000000,12,13
5,39.137999999999998,115.937000000000000,311.699999999999990,10/21/2013 0:00:00,5,50,10.699999999999999,12,13
6,39.127000000000002,116.006000000000000,310.800000000000010,11/3/2013 0:00:00,3,44,11.400000000000000,12,11
7,39.171999999999997,115.840999999999990,310.800000000000010,8/25/2014 0:00:00,3,34,7.100000000000000,12,11
8,39.197000000000003,115.738000000000000,311.699999999999990,10/13/2012 0:00:00,3,46,11.199999999999999,12,11
9,39.195999999999998,115.757000000000010,317.000000000000000,1/31/2010 0:00:00,3,67,42.100000000000001,12,11
10,39.207000000000001,115.741000000000000,311.699999999999990,10/13/2012 0:00:00,3,47,11.500000000000000,12,11
11,39.152000000000001,116.045000000000000,310.699999999999990,10/5/2013 0:00:00,5,43,7.200000000000000,12,13
12,39.198999999999998,115.822000000000000,314.100000000000020,10/20/2012 0:00:00,5,60,13.500000000000000,13,13
13,39.213000000000001,115.758000000000000,323.300000000000010,6/16/2006 0:00:00,3,76,10.600000000000000,12,11
14,39.256999999999998,115.531000000000010,324.500000000000000,6/18/2005 0:00:00,5,73,11.100000000000000,12,13
15,39.204999999999998,115.809000000000000,316.199999999999990,11/3/2013 0:00:00,3,65,16.800000000000001,12,11
16,39.201000000000001,115.834999999999990,313.300000000000010,10/20/2012 0:00:00,5,58,12.500000000000000,12,13
17,39.222999999999999,115.733000000000000,324.100000000000020,6/18/2005 0:00:00,5,77,13.100000000000000,12,13
18,39.206000000000003,115.827000000000000,312.300000000000010,10/20/2012 0:00:00,5,54,12.300000000000001,12,13
19,39.200000000000003,115.871000000000000,322.800000000000010,6/17/2007 0:00:00,5,76,9.699999999999999,12,13
20,39.197000000000003,115.893000000000000,311.899999999999980,10/10/2013 0:00:00,6,52,12.199999999999999,12,14
21,39.173000000000002,116.018000000000000,312.500000000000000,9/29/2014 0:00:00,6,53,8.800000000000001,12,14
22,39.206000000000003,115.857000000000000,311.100000000000020,11/3/2013 0:00:00,3,46,11.600000000000000,12,11
23,39.201999999999998,115.884000000000000,323.800000000000010,6/17/2007 0:00:00,5,77,11.199999999999999,12,13
24,39.204999999999998,115.869000000000000,313.699999999999990,11/3/2013 0:00:00,3,59,14.199999999999999,12,11
25,39.223999999999997,115.788000000000000,321.199999999999990,6/18/2006 0:00:00,5,74,36.000000000000000,12,13
26,39.247000000000000,115.706999999999990,327.699999999999990,6/17/2007 0:00:00,5,80,19.500000000000000,12,13
27,39.293999999999997,115.464000000000000,330.300000000000010,6/18/2006 0:00:00,3,83,17.100000000000001,12,11
28,39.271999999999998,115.593000000000000,330.399999999999980,6/22/2004 0:00:00,5,83,20.800000000000001,12,13
29,39.250999999999998,115.703999999999990,323.600000000000020,6/22/2004 0:00:00,5,64,11.400000000000000,12,13
30,39.276000000000003,115.575999999999990,330.800000000000010,6/21/2005 0:00:00,6,83,37.500000000000000,12,14
31,39.219000000000001,115.878000000000000,310.199999999999990,3/20/2009 0:00:00,3,32,9.600000000000000,12,11
32,39.234000000000002,115.802000000000010,321.899999999999980,6/18/2005 0:00:00,5,68,7.800000000000000,12,13
33,39.274000000000001,115.604000000000000,320.899999999999980,6/22/2004 0:00:00,5,40,8.500000000000000,12,13
34,39.235999999999997,115.808000000000010,323.300000000000010,6/18/2006 0:00:00,3,76,10.900000000000000,12,11
35,39.238999999999997,115.793000000000010,328.300000000000010,6/17/2006 0:00:00,6,74,17.300000000000001,12,14
36,39.234000000000002,115.819999999999990,325.600000000000020,6/18/2006 0:00:00,3,79,14.500000000000000,12,11
37,39.277999999999999,115.596999999999990,326.800000000000010,6/21/2005 0:00:00,6,80,23.500000000000000,12,14
38,39.220999999999997,115.901000000000000,305.899999999999980,6/16/2007 0:00:00,14,8,15.300000000000001,13,22
39,39.280000000000001,115.599999999999990,317.399999999999980,6/22/2004 0:00:00,4,68,27.399999999999999,12,12
40,39.313000000000002,115.435000000000000,315.199999999999990,2/6/2004 0:00:00,6,63,22.899999999999999,12,14
41,39.244999999999997,115.796000000000010,324.100000000000020,6/30/2012 0:00:00,5,49,12.900000000000000,12,13
42,39.246000000000002,115.794000000000000,319.500000000000000,5/27/2011 0:00:00,5,41,11.699999999999999,12,13
43,39.246000000000002,115.797000000000000,314.399999999999980,7/24/2009 0:00:00,5,13,9.400000000000000,12,13
44,39.247000000000000,115.800000000000000,327.399999999999980,6/12/2011 0:00:00,5,40,13.300000000000001,12,13
45,39.247000000000000,115.825999999999990,312.300000000000010,11/10/2013 0:00:00,5,44,28.399999999999999,12,13
