FID,latitude,longitude,brightness,acq_date,acq_time,confidence,frp,local_time,RASTERVALU
0,38.728999999999999,116.120000000000000,324.800000000000010,5/24/2010 0:00:00,5,54,12.699999999999999,13,13
1,38.728999999999999,116.120000000000000,327.699999999999990,6/14/2012 0:00:00,5,59,12.800000000000001,13,13
2,38.728999999999999,116.120000000000000,324.800000000000010,5/24/2010 0:00:00,5,54,12.699999999999999,13,13
3,38.728999999999999,116.120000000000000,327.699999999999990,6/14/2012 0:00:00,5,59,12.800000000000001,13,13
4,38.685000000000002,116.343000000000000,313.899999999999980,10/8/2014 0:00:00,5,60,7.600000000000000,13,12
5,38.729999999999997,116.121000000000000,323.699999999999990,6/25/2010 0:00:00,5,73,10.500000000000000,13,13
6,38.729999999999997,116.124000000000000,319.000000000000000,5/18/2008 0:00:00,5,39,11.300000000000001,13,13
7,38.731000000000002,116.122000000000000,326.800000000000010,6/4/2014 0:00:00,5,31,12.199999999999999,13,13
8,38.686999999999998,116.354000000000000,315.899999999999980,10/8/2014 0:00:00,5,65,9.900000000000000,13,12
9,38.713000000000001,116.224999999999990,321.100000000000020,6/20/2010 0:00:00,3,62,9.100000000000000,11,12
10,38.713000000000001,116.224999999999990,321.100000000000020,6/20/2010 0:00:00,3,62,9.100000000000000,11,12
11,38.732999999999997,116.125000000000000,324.800000000000010,6/12/2013 0:00:00,3,71,13.500000000000000,11,13
12,38.734000000000002,116.123000000000000,327.699999999999990,6/12/2011 0:00:00,5,57,11.699999999999999,13,13
13,38.732999999999997,116.130000000000000,321.500000000000000,5/19/2010 0:00:00,3,37,10.900000000000000,11,13
14,38.734000000000002,116.125000000000000,321.800000000000010,7/11/2012 0:00:00,3,54,11.000000000000000,11,13
15,38.734999999999999,116.124000000000000,323.699999999999990,6/28/2013 0:00:00,3,47,8.900000000000000,11,13
16,38.756000000000000,116.022000000000010,320.800000000000010,6/16/2007 0:00:00,3,65,13.800000000000001,11,12
17,38.735999999999997,116.127000000000000,321.399999999999980,6/4/2010 0:00:00,3,41,15.900000000000000,11,13
18,38.735999999999997,116.128000000000000,325.699999999999990,6/7/2011 0:00:00,3,56,10.400000000000000,11,12
19,38.737000000000002,116.123000000000000,327.800000000000010,6/1/2009 0:00:00,3,58,11.000000000000000,11,13
20,38.762000000000000,116.016000000000010,323.399999999999980,6/16/2007 0:00:00,3,76,20.000000000000000,11,12
21,38.743000000000002,116.114000000000000,315.199999999999990,5/11/2011 0:00:00,5,36,12.600000000000000,13,13
22,38.744000000000000,116.117999999999990,328.500000000000000,6/22/2009 0:00:00,5,69,14.100000000000000,13,12
23,38.744999999999997,116.113000000000000,317.899999999999980,5/18/2008 0:00:00,5,69,10.600000000000000,13,12
24,38.744999999999997,116.123000000000000,316.399999999999980,5/13/2008 0:00:00,3,63,13.400000000000000,11,13
25,38.747000000000000,116.117000000000000,319.300000000000010,6/4/2010 0:00:00,3,24,12.600000000000000,11,12
26,38.747000000000000,116.117999999999990,325.199999999999990,6/7/2011 0:00:00,3,41,9.400000000000000,11,12
27,38.747999999999998,116.117999999999990,327.800000000000010,6/20/2010 0:00:00,3,81,13.300000000000001,11,12
28,38.718000000000004,116.279000000000000,320.199999999999990,9/10/2014 0:00:00,5,46,16.600000000000001,13,12
29,38.752000000000002,116.117000000000000,315.399999999999980,5/18/2004 0:00:00,3,64,10.600000000000000,11,12
30,38.773000000000003,116.012000000000000,323.699999999999990,6/18/2006 0:00:00,3,62,9.600000000000000,11,12
31,38.750000000000000,116.145000000000000,313.699999999999990,2/19/2010 0:00:00,3,58,19.500000000000000,11,12
32,38.776000000000003,116.014000000000000,327.500000000000000,6/18/2005 0:00:00,5,55,14.900000000000000,13,12
33,38.771999999999998,116.041000000000000,338.000000000000000,6/22/2004 0:00:00,5,89,28.100000000000001,13,12
34,38.706000000000003,116.377000000000000,319.899999999999980,6/20/2010 0:00:00,3,53,6.800000000000000,11,12
35,38.780000000000001,116.005000000000000,322.100000000000020,6/19/2005 0:00:00,3,66,17.399999999999999,11,12
36,38.709000000000003,116.373000000000000,314.600000000000020,6/25/2012 0:00:00,3,62,9.300000000000001,11,12
37,38.734000000000002,116.248000000000000,312.000000000000000,10/29/2013 0:00:00,3,52,14.800000000000001,11,12
38,38.710999999999999,116.371000000000000,325.100000000000020,6/12/2013 0:00:00,3,71,10.000000000000000,11,12
39,38.709000000000003,116.383000000000000,323.300000000000010,6/12/2013 0:00:00,3,61,7.900000000000000,11,12
40,38.713999999999999,116.364999999999990,315.300000000000010,7/11/2012 0:00:00,3,17,7.700000000000000,11,12
41,38.712000000000003,116.377000000000000,317.899999999999980,7/11/2012 0:00:00,3,46,10.500000000000000,11,12
42,38.713000000000001,116.372000000000000,330.899999999999980,5/30/2014 0:00:00,3,78,7.200000000000000,11,12
43,38.731999999999999,116.282000000000000,322.000000000000000,6/12/2004 0:00:00,3,75,7.500000000000000,11,12
44,38.707999999999998,116.430000000000010,312.500000000000000,7/26/2009 0:00:00,3,52,9.800000000000001,11,12
45,38.798000000000002,115.991000000000000,314.199999999999990,3/25/2007 0:00:00,6,49,15.500000000000000,14,12
46,38.787999999999997,116.063000000000000,311.600000000000020,9/29/2014 0:00:00,6,50,7.700000000000000,14,12
47,38.755000000000003,116.239000000000000,317.199999999999990,5/3/2014 0:00:00,5,67,9.300000000000001,13,12
48,38.795000000000002,116.044000000000000,328.899999999999980,6/17/2005 0:00:00,3,31,27.899999999999999,11,12
49,38.801000000000002,116.019000000000010,312.000000000000000,1/27/2008 0:00:00,5,52,22.800000000000001,13,1
50,38.792000000000002,116.072000000000000,328.800000000000010,6/17/2005 0:00:00,3,82,24.199999999999999,11,12
51,38.759000000000000,116.242999999999990,315.100000000000020,8/9/2014 0:00:00,3,54,11.500000000000000,11,12
52,38.780999999999999,116.150000000000010,310.500000000000000,10/21/2013 0:00:00,5,39,8.600000000000000,13,12
53,38.811000000000000,116.008000000000000,310.000000000000000,2/16/2008 0:00:00,3,21,17.399999999999999,11,1
54,38.786999999999999,116.142000000000000,320.100000000000020,5/29/2006 0:00:00,5,62,10.500000000000000,13,12
55,38.787999999999997,116.149000000000000,326.699999999999990,5/24/2010 0:00:00,5,70,13.699999999999999,13,12
56,38.790999999999997,116.142000000000000,328.300000000000010,6/14/2012 0:00:00,5,81,12.800000000000001,13,12
57,38.790999999999997,116.143000000000000,323.699999999999990,6/25/2010 0:00:00,5,77,11.900000000000000,13,12
58,38.789000000000001,116.154000000000000,319.699999999999990,5/29/2006 0:00:00,5,59,8.900000000000000,13,12
59,38.789999999999999,116.152000000000000,321.000000000000000,5/18/2008 0:00:00,5,73,11.100000000000000,13,12
60,38.789999999999999,116.153000000000010,325.000000000000000,6/20/2010 0:00:00,3,78,10.400000000000000,11,12
61,38.792999999999999,116.146000000000000,324.500000000000000,4/30/2013 0:00:00,5,78,11.400000000000000,13,12
62,38.792999999999999,116.147000000000010,327.699999999999990,6/1/2013 0:00:00,5,81,15.500000000000000,13,12
63,38.805000000000000,116.087000000000000,313.899999999999980,8/11/2009 0:00:00,3,60,8.900000000000000,11,12
64,38.807000000000002,116.080000000000000,315.899999999999980,8/9/2014 0:00:00,3,55,10.300000000000001,11,12
65,38.707000000000001,116.584999999999990,312.800000000000010,8/15/2007 0:00:00,3,54,6.300000000000000,11,12
66,38.707000000000001,116.584999999999990,311.699999999999990,4/27/2008 0:00:00,3,45,5.000000000000000,11,12
67,38.707000000000001,116.584999999999990,312.800000000000010,8/15/2007 0:00:00,3,54,6.300000000000000,11,12
68,38.707000000000001,116.584999999999990,311.699999999999990,4/27/2008 0:00:00,3,45,5.000000000000000,11,12
69,38.793999999999997,116.147000000000010,330.600000000000020,7/6/2010 0:00:00,3,83,13.699999999999999,11,12
70,38.793999999999997,116.148000000000000,316.000000000000000,5/13/2012 0:00:00,5,56,11.500000000000000,13,12
71,38.793999999999997,116.148000000000000,325.199999999999990,6/12/2013 0:00:00,3,78,16.699999999999999,11,12
72,38.793999999999997,116.148000000000000,316.000000000000000,5/13/2012 0:00:00,5,56,11.500000000000000,13,12
73,38.793999999999997,116.148000000000000,325.199999999999990,6/12/2013 0:00:00,3,78,16.699999999999999,11,12
74,38.792000000000002,116.159000000000010,324.199999999999990,6/12/2013 0:00:00,3,77,15.199999999999999,11,12
75,38.792999999999999,116.154000000000000,333.800000000000010,6/14/2012 0:00:00,5,86,22.100000000000001,13,12
76,38.792999999999999,116.154000000000000,313.300000000000010,8/31/2013 0:00:00,3,57,9.300000000000001,11,12
77,38.792999999999999,116.154000000000000,333.800000000000010,6/14/2012 0:00:00,5,86,22.100000000000001,13,12
78,38.792999999999999,116.154000000000000,313.300000000000010,8/31/2013 0:00:00,3,57,9.300000000000001,11,12
79,38.792999999999999,116.155000000000000,326.600000000000020,6/25/2010 0:00:00,5,80,16.199999999999999,13,12
80,38.792999999999999,116.157000000000000,320.500000000000000,7/21/2013 0:00:00,3,73,16.300000000000001,11,12
81,38.793999999999997,116.152000000000000,327.899999999999980,5/19/2010 0:00:00,3,81,19.600000000000001,11,12
82,38.793999999999997,116.152000000000000,315.399999999999980,8/18/2014 0:00:00,3,64,11.300000000000001,11,12
83,38.793999999999997,116.152000000000000,327.899999999999980,5/19/2010 0:00:00,3,81,19.600000000000001,11,12
84,38.793999999999997,116.152000000000000,315.399999999999980,8/18/2014 0:00:00,3,64,11.300000000000001,11,12
85,38.795999999999999,116.142000000000000,325.100000000000020,6/22/2009 0:00:00,5,75,10.500000000000000,13,12
86,38.792999999999999,116.159000000000010,324.000000000000000,7/3/2009 0:00:00,3,77,9.000000000000000,11,12
87,38.792999999999999,116.159000000000010,328.199999999999990,7/6/2010 0:00:00,3,81,10.000000000000000,11,12
88,38.792999999999999,116.159000000000010,324.000000000000000,7/3/2009 0:00:00,3,77,9.000000000000000,11,12
89,38.792999999999999,116.159000000000010,328.199999999999990,7/6/2010 0:00:00,3,81,10.000000000000000,11,12
90,38.795999999999999,116.145000000000000,332.899999999999980,6/12/2011 0:00:00,5,85,19.300000000000001,13,12
91,38.795999999999999,116.147000000000010,322.199999999999990,6/28/2013 0:00:00,3,75,9.800000000000001,11,12
92,38.793999999999997,116.158000000000000,316.899999999999980,8/9/2014 0:00:00,3,67,13.600000000000000,11,12
93,38.795000000000002,116.153000000000010,326.199999999999990,7/11/2012 0:00:00,3,79,20.600000000000001,11,12
94,38.793999999999997,116.159000000000010,325.100000000000020,6/28/2013 0:00:00,3,78,13.699999999999999,11,12
95,38.795000000000002,116.154000000000000,316.800000000000010,5/13/2008 0:00:00,3,67,12.500000000000000,11,12
96,38.795999999999999,116.151000000000000,321.600000000000020,7/16/2011 0:00:00,3,74,18.300000000000001,11,12
97,38.795000000000002,116.157000000000000,318.699999999999990,7/30/2013 0:00:00,3,70,12.900000000000000,11,12
