FID,latitude,longitude,brightness,acq_date,acq_time,confidence,frp,RASTERVALU,local_time
102,38.996000000000002,115.345000000000000,327.000000000000000,7/2/2010 0:00:00,5,80,14.699999999999999,10,13
103,38.996000000000002,115.346000000000000,319.500000000000000,7/18/2010 0:00:00,5,57,9.000000000000000,10,13
105,38.997000000000000,115.349000000000000,322.199999999999990,6/24/2013 0:00:00,5,56,15.300000000000001,10,13
108,38.997000000000000,115.349999999999990,317.500000000000000,8/19/2012 0:00:00,3,54,11.500000000000000,10,11
112,38.997999999999998,115.349000000000000,316.199999999999990,4/29/2010 0:00:00,5,58,7.600000000000000,10,13
116,38.997999999999998,115.349999999999990,315.399999999999980,9/4/2012 0:00:00,3,33,12.199999999999999,10,11
117,38.999000000000002,115.346000000000000,320.000000000000000,5/13/2011 0:00:00,3,43,8.199999999999999,10,11
118,38.999000000000002,115.346999999999990,318.899999999999980,6/30/2011 0:00:00,3,54,8.699999999999999,10,11
119,38.999000000000002,115.348000000000000,320.399999999999980,5/15/2012 0:00:00,3,53,9.300000000000001,10,11
120,38.999000000000002,115.349999999999990,318.000000000000000,8/14/2010 0:00:00,3,68,11.600000000000000,10,11
343,39.219999999999999,115.072000000000000,313.100000000000020,4/3/2014 0:00:00,3,38,8.699999999999999,10,11
388,39.270000000000003,115.476000000000000,314.600000000000020,6/12/2013 0:00:00,3,62,8.000000000000000,10,11
389,39.271999999999998,115.477999999999990,316.500000000000000,7/7/2008 0:00:00,3,35,8.400000000000000,10,11
397,39.331000000000003,115.232000000000000,322.699999999999990,4/2/2007 0:00:00,3,76,21.600000000000001,10,11
398,39.317000000000000,115.311000000000010,315.699999999999990,3/26/2014 0:00:00,6,64,20.199999999999999,10,14
404,39.399999999999999,114.938000000000000,316.000000000000000,3/26/2005 0:00:00,6,65,18.399999999999999,10,14
408,39.432000000000002,114.924000000000010,323.600000000000020,4/2/2006 0:00:00,5,77,15.800000000000001,10,13
409,39.448000000000000,114.944999999999990,318.899999999999980,4/17/2004 0:00:00,4,70,54.500000000000000,10,12
410,39.457000000000001,114.905000000000000,320.600000000000020,4/17/2004 0:00:00,4,73,66.400000000000006,10,12
412,39.427000000000000,115.177000000000010,311.000000000000000,4/2/2008 0:00:00,3,46,10.500000000000000,10,11
414,39.677999999999997,114.803000000000000,319.800000000000010,4/5/2006 0:00:00,6,72,36.799999999999997,10,14
58,39.256000000000000,115.799000000000010,317.800000000000010,8/11/2009 0:00:00,3,40,11.100000000000000,10,11
85,39.365000000000002,115.374000000000000,314.800000000000010,2/13/2007 0:00:00,5,62,71.500000000000000,10,13
163,39.463999999999999,115.242999999999990,314.800000000000010,3/24/2006 0:00:00,5,60,10.800000000000001,10,13
196,39.500000000000000,115.227000000000000,322.600000000000020,2/22/2007 0:00:00,3,75,33.500000000000000,10,11
225,39.500000000000000,115.590999999999990,312.000000000000000,3/18/2013 0:00:00,6,52,12.600000000000000,10,14
231,39.600999999999999,115.152000000000000,313.500000000000000,3/16/2006 0:00:00,3,12,12.400000000000000,10,11
232,39.517000000000003,115.602000000000000,311.399999999999980,10/15/2005 0:00:00,5,48,9.699999999999999,10,13
233,39.609000000000002,115.145000000000000,324.100000000000020,3/16/2006 0:00:00,3,77,30.600000000000001,10,11
251,39.481000000000002,116.044000000000000,319.699999999999990,7/19/2013 0:00:00,5,40,12.800000000000001,10,13
252,39.481999999999999,116.043000000000010,325.199999999999990,5/27/2011 0:00:00,5,40,13.699999999999999,10,13
253,39.481999999999999,116.044000000000000,336.199999999999990,6/30/2012 0:00:00,5,87,33.100000000000001,10,13
254,39.482999999999997,116.042000000000000,319.699999999999990,6/19/2008 0:00:00,5,50,14.000000000000000,10,13
300,39.465000000000003,116.291000000000000,326.600000000000020,5/27/2011 0:00:00,5,80,12.199999999999999,10,13
303,39.588000000000001,115.677000000000010,333.100000000000020,4/25/2013 0:00:00,3,85,33.299999999999997,10,11
306,39.674999999999997,115.295000000000000,326.600000000000020,4/9/2004 0:00:00,3,79,15.500000000000000,10,11
376,39.619999999999997,115.779000000000000,333.500000000000000,3/30/2012 0:00:00,3,85,39.399999999999999,10,11
462,39.909999999999997,114.758000000000000,313.199999999999990,9/7/2013 0:00:00,3,57,11.699999999999999,10,11
515,39.651000000000003,116.284000000000010,318.899999999999980,8/17/2012 0:00:00,5,70,13.800000000000001,10,13
519,39.652000000000001,116.284000000000010,325.600000000000020,6/30/2012 0:00:00,5,45,12.100000000000000,10,13
521,39.652000000000001,116.285000000000000,317.100000000000020,8/28/2012 0:00:00,3,60,8.699999999999999,10,11
523,39.652999999999999,116.282000000000000,321.100000000000020,8/31/2013 0:00:00,3,74,13.500000000000000,10,11
525,39.652999999999999,116.283000000000000,328.199999999999990,5/8/2012 0:00:00,3,81,14.500000000000000,10,11
532,39.654000000000003,116.284000000000010,317.199999999999990,8/18/2014 0:00:00,3,67,10.500000000000000,10,11
536,39.655000000000001,116.284000000000010,325.600000000000020,7/30/2013 0:00:00,3,74,15.000000000000000,10,11
541,39.942000000000000,114.762000000000000,316.500000000000000,9/15/2010 0:00:00,3,66,11.400000000000000,10,11
549,39.945999999999998,114.764000000000000,310.699999999999990,9/10/2014 0:00:00,3,28,7.300000000000000,10,11
550,39.948000000000000,114.756000000000000,311.199999999999990,9/7/2013 0:00:00,3,47,8.500000000000000,10,11
608,39.662999999999997,116.343000000000000,327.000000000000000,5/19/2010 0:00:00,3,66,13.900000000000000,10,11
610,39.664000000000001,116.343000000000000,318.000000000000000,4/27/2008 0:00:00,3,65,9.300000000000001,10,11
611,39.664000000000001,116.340000000000000,316.100000000000020,9/13/2012 0:00:00,3,51,9.800000000000001,10,11
612,39.664000000000001,116.348000000000000,324.600000000000020,7/30/2013 0:00:00,3,45,14.000000000000000,10,11
614,39.664000000000001,116.343000000000000,318.000000000000000,4/27/2008 0:00:00,3,65,9.300000000000001,10,11
617,39.664000000000001,116.348000000000000,324.600000000000020,7/30/2013 0:00:00,3,45,14.000000000000000,10,11
618,39.665999999999997,116.339000000000000,321.699999999999990,6/4/2010 0:00:00,3,36,9.800000000000001,10,11
619,39.664000000000001,116.351000000000000,322.000000000000000,6/4/2010 0:00:00,3,47,10.699999999999999,10,11
635,39.673000000000002,116.343000000000000,318.699999999999990,4/18/2011 0:00:00,5,57,8.900000000000000,10,13
641,39.676000000000002,116.343000000000000,317.199999999999990,4/22/2012 0:00:00,3,61,10.500000000000000,10,11
642,39.676000000000002,116.340000000000000,322.399999999999980,8/12/2012 0:00:00,3,61,14.600000000000000,10,11
643,39.674999999999997,116.346000000000000,313.000000000000000,4/9/2013 0:00:00,3,50,7.700000000000000,10,11
645,39.677999999999997,116.331999999999990,329.300000000000010,6/15/2014 0:00:00,3,60,15.199999999999999,10,11
648,39.676000000000002,116.343000000000000,317.199999999999990,4/22/2012 0:00:00,3,61,10.500000000000000,10,11
649,39.677000000000000,116.343999999999990,328.199999999999990,5/6/2011 0:00:00,3,81,14.600000000000000,10,11
650,39.677000000000000,116.343999999999990,331.500000000000000,4/25/2013 0:00:00,3,84,28.000000000000000,10,11
651,39.677000000000000,116.343999999999990,328.199999999999990,5/6/2011 0:00:00,3,81,14.600000000000000,10,11
652,39.677000000000000,116.343999999999990,331.500000000000000,4/25/2013 0:00:00,3,84,28.000000000000000,10,11
654,39.679000000000002,116.336000000000000,329.600000000000020,7/9/2011 0:00:00,3,31,10.699999999999999,10,11
659,39.686999999999998,116.302000000000010,312.199999999999990,3/31/2007 0:00:00,3,53,15.100000000000000,10,11
664,39.692999999999998,116.278000000000010,318.899999999999980,4/27/2008 0:00:00,3,50,9.800000000000001,10,11
665,39.694000000000003,116.273000000000000,315.199999999999990,8/31/2008 0:00:00,5,44,11.300000000000001,10,13
667,39.680000000000000,116.346000000000000,327.899999999999980,5/8/2012 0:00:00,3,75,12.400000000000000,10,11
668,39.683000000000000,116.333000000000000,327.399999999999980,7/21/2008 0:00:00,5,81,16.899999999999999,10,13
670,39.683000000000000,116.336000000000000,322.899999999999980,7/16/2006 0:00:00,5,51,11.199999999999999,10,13
671,39.683000000000000,116.336000000000000,325.600000000000020,5/19/2010 0:00:00,3,55,11.100000000000000,10,11
672,39.683000000000000,116.336000000000000,322.899999999999980,7/16/2006 0:00:00,5,51,11.199999999999999,10,13
673,39.683000000000000,116.336000000000000,325.600000000000020,5/19/2010 0:00:00,3,55,11.100000000000000,10,11
674,39.695000000000000,116.275000000000010,323.800000000000010,8/15/2007 0:00:00,3,66,15.199999999999999,10,11
677,39.695999999999998,116.272000000000010,315.100000000000020,8/28/2006 0:00:00,3,41,9.600000000000000,10,11
680,39.685000000000002,116.330000000000000,326.600000000000020,7/30/2011 0:00:00,5,35,15.100000000000000,10,13
683,39.695999999999998,116.275000000000010,319.300000000000010,9/2/2008 0:00:00,3,45,10.600000000000000,10,11
694,39.698000000000000,116.275000000000010,322.399999999999980,4/25/2007 0:00:00,3,55,8.400000000000000,10,11
695,39.698000000000000,116.275000000000010,325.600000000000020,5/6/2011 0:00:00,3,23,10.400000000000000,10,11
696,39.698000000000000,116.275000000000010,322.399999999999980,4/25/2007 0:00:00,3,55,8.400000000000000,10,11
697,39.698000000000000,116.275000000000010,325.600000000000020,5/6/2011 0:00:00,3,23,10.400000000000000,10,11
703,39.700000000000003,116.273000000000000,322.800000000000010,8/20/2009 0:00:00,3,32,13.199999999999999,10,11
707,39.695000000000000,116.302000000000010,312.000000000000000,3/28/2010 0:00:00,5,52,6.600000000000000,10,13
709,39.698999999999998,116.282000000000000,311.800000000000010,4/1/2010 0:00:00,3,51,7.100000000000000,10,11
711,39.700000000000003,116.277000000000000,325.399999999999980,5/8/2012 0:00:00,3,26,9.199999999999999,10,11
713,39.700000000000003,116.281000000000010,325.500000000000000,4/28/2014 0:00:00,3,25,14.300000000000001,10,11
714,39.701000000000001,116.276000000000000,319.800000000000010,6/30/2012 0:00:00,4,29,17.000000000000000,10,12
716,39.701000000000001,116.281000000000010,317.100000000000020,4/4/2011 0:00:00,3,57,8.900000000000000,10,11
718,39.697000000000003,116.307000000000000,312.899999999999980,9/28/2009 0:00:00,3,56,12.699999999999999,10,11
719,39.701999999999998,116.282000000000000,315.800000000000010,5/13/2008 0:00:00,3,32,7.500000000000000,10,11
748,39.694000000000003,116.360000000000000,318.199999999999990,8/31/2011 0:00:00,5,69,8.800000000000001,10,13
749,39.694000000000003,116.360000000000000,315.500000000000000,4/14/2013 0:00:00,5,61,7.300000000000000,10,13
751,39.694000000000003,116.360000000000000,318.199999999999990,8/31/2011 0:00:00,5,69,8.800000000000001,10,13
752,39.694000000000003,116.360000000000000,315.500000000000000,4/14/2013 0:00:00,5,61,7.300000000000000,10,13
756,39.695000000000000,116.355999999999990,326.899999999999980,5/24/2010 0:00:00,5,79,11.500000000000000,10,13
757,39.695000000000000,116.358000000000000,314.500000000000000,3/31/2008 0:00:00,5,61,9.500000000000000,10,13
763,39.695999999999998,116.358999999999990,329.800000000000010,6/28/2011 0:00:00,5,78,16.500000000000000,10,13
764,39.695999999999998,116.358999999999990,329.800000000000010,6/28/2011 0:00:00,5,78,16.500000000000000,10,13
840,39.700000000000003,116.375000000000000,327.600000000000020,6/15/2014 0:00:00,3,53,12.300000000000001,10,11
842,39.701000000000001,116.371000000000000,315.600000000000020,9/16/2013 0:00:00,3,45,8.699999999999999,10,11
848,39.701000000000001,116.374000000000000,315.800000000000010,5/29/2008 0:00:00,3,33,6.800000000000000,10,11
849,39.875999999999998,115.461000000000000,305.699999999999990,5/27/2014 0:00:00,14,36,26.399999999999999,10,22
853,39.701999999999998,116.372000000000000,313.699999999999990,9/21/2009 0:00:00,3,28,7.000000000000000,10,11
879,39.725999999999999,116.273000000000000,314.600000000000020,9/9/2011 0:00:00,5,32,10.500000000000000,10,13
880,39.723999999999997,116.284000000000010,313.100000000000020,4/3/2014 0:00:00,3,55,8.199999999999999,10,11
884,39.725999999999999,116.279000000000000,315.500000000000000,9/11/2006 0:00:00,5,60,8.400000000000000,10,13
891,39.731000000000002,116.272000000000010,330.399999999999980,4/6/2010 0:00:00,5,83,29.300000000000001,10,13
917,39.728999999999999,116.349999999999990,315.800000000000010,5/13/2008 0:00:00,3,58,8.300000000000001,10,11
951,39.752000000000002,116.273000000000000,317.100000000000020,6/30/2006 0:00:00,5,34,7.400000000000000,10,13
953,39.725999999999999,116.409000000000010,317.500000000000000,8/31/2007 0:00:00,3,32,8.300000000000001,10,11
975,39.756999999999998,116.276000000000000,316.600000000000020,6/22/2014 0:00:00,3,33,11.100000000000000,10,11
1011,39.762999999999998,116.265000000000000,325.000000000000000,6/9/2012 0:00:00,3,39,8.600000000000000,10,11
1043,39.768999999999998,116.267000000000000,324.699999999999990,8/2/2014 0:00:00,3,72,13.900000000000000,10,11
1044,39.746000000000002,116.385000000000010,321.699999999999990,8/22/2008 0:00:00,5,41,11.100000000000000,10,13
1045,39.747000000000000,116.386000000000000,311.500000000000000,4/1/2010 0:00:00,3,27,8.100000000000000,10,11
1046,39.747000000000000,116.385000000000010,314.800000000000010,9/7/2004 0:00:00,3,50,9.300000000000001,10,11
1047,39.747000000000000,116.380000000000000,323.100000000000020,8/10/2011 0:00:00,3,68,11.000000000000000,10,11
1048,39.747000000000000,116.386000000000000,328.800000000000010,8/7/2014 0:00:00,5,48,14.400000000000000,10,13
1053,39.746000000000002,116.389000000000000,317.699999999999990,4/6/2012 0:00:00,3,68,10.000000000000000,10,11
1054,39.747000000000000,116.385000000000010,314.800000000000010,9/7/2004 0:00:00,3,50,9.300000000000001,10,11
1056,39.747000000000000,116.386000000000000,311.500000000000000,4/1/2010 0:00:00,3,27,8.100000000000000,10,11
1057,39.747000000000000,116.386000000000000,328.800000000000010,8/7/2014 0:00:00,5,48,14.400000000000000,10,13
1058,39.747000000000000,116.386000000000000,311.500000000000000,4/1/2010 0:00:00,3,27,8.100000000000000,10,11
1059,39.747000000000000,116.386000000000000,328.800000000000010,8/7/2014 0:00:00,5,48,14.400000000000000,10,13
1062,39.747000000000000,116.390000000000000,326.699999999999990,8/28/2012 0:00:00,3,69,17.300000000000001,10,11
1063,39.747999999999998,116.386000000000000,328.399999999999980,8/31/2013 0:00:00,3,77,18.899999999999999,10,11
1065,39.747999999999998,116.388000000000010,326.399999999999980,5/8/2012 0:00:00,3,76,12.699999999999999,10,11
1067,39.747999999999998,116.390000000000000,323.199999999999990,8/31/2007 0:00:00,3,68,14.500000000000000,10,11
1069,39.749000000000002,116.385000000000010,319.000000000000000,4/4/2011 0:00:00,3,64,11.600000000000000,10,11
1070,39.750000000000000,116.385000000000010,323.500000000000000,4/27/2008 0:00:00,3,56,15.500000000000000,10,11
1071,39.750000000000000,116.380000000000000,322.000000000000000,4/28/2014 0:00:00,3,52,11.199999999999999,10,11
1076,39.750000000000000,116.385000000000010,323.500000000000000,4/27/2008 0:00:00,3,56,15.500000000000000,10,11
1082,39.750999999999998,116.385000000000010,323.199999999999990,8/2/2014 0:00:00,3,72,12.800000000000001,10,11
1088,39.771000000000001,116.285000000000000,318.699999999999990,7/20/2010 0:00:00,3,43,10.600000000000000,10,11
1095,39.753000000000000,116.382000000000010,317.500000000000000,4/22/2012 0:00:00,3,33,10.699999999999999,10,11
1096,39.750999999999998,116.393000000000000,318.899999999999980,4/22/2012 0:00:00,3,47,12.199999999999999,10,11
1097,39.771000000000001,116.292000000000000,316.899999999999980,5/25/2007 0:00:00,3,67,9.300000000000001,10,11
1099,39.753000000000000,116.385000000000010,321.000000000000000,8/12/2012 0:00:00,3,73,14.000000000000000,10,11
1100,39.753000000000000,116.385000000000010,317.800000000000010,4/9/2013 0:00:00,3,49,13.400000000000000,10,11
1101,39.753000000000000,116.385000000000010,321.000000000000000,8/12/2012 0:00:00,3,73,14.000000000000000,10,11
1102,39.753000000000000,116.385000000000010,317.800000000000010,4/9/2013 0:00:00,3,49,13.400000000000000,10,11
1109,39.753999999999998,116.383000000000000,323.500000000000000,5/6/2011 0:00:00,3,28,9.400000000000000,10,11
1110,39.753999999999998,116.383000000000000,323.300000000000010,4/25/2013 0:00:00,3,41,12.900000000000000,10,11
1111,39.753999999999998,116.383000000000000,323.500000000000000,5/6/2011 0:00:00,3,28,9.400000000000000,10,11
1112,39.753999999999998,116.383000000000000,323.300000000000010,4/25/2013 0:00:00,3,41,12.900000000000000,10,11
1116,39.753000000000000,116.389000000000000,325.899999999999980,9/2/2008 0:00:00,3,60,14.900000000000000,10,11
1120,39.773000000000003,116.292000000000000,319.800000000000010,8/5/2010 0:00:00,5,60,9.699999999999999,10,13
1124,39.773000000000003,116.293000000000010,316.100000000000020,8/18/2005 0:00:00,3,59,7.700000000000000,10,11
1151,39.776000000000003,116.293000000000010,319.500000000000000,7/7/2011 0:00:00,3,39,11.699999999999999,10,11
1195,39.764000000000003,116.385000000000010,322.600000000000020,4/25/2007 0:00:00,3,66,9.500000000000000,10,11
1197,39.756999999999998,116.423000000000000,323.300000000000010,7/11/2006 0:00:00,3,76,16.300000000000001,10,11
1201,39.741000000000000,116.508000000000000,312.000000000000000,9/4/2012 0:00:00,3,37,8.100000000000000,10,11
1203,39.741000000000000,116.509000000000000,322.300000000000010,4/30/2013 0:00:00,5,51,6.700000000000000,10,13
1213,39.741000000000000,116.511000000000000,312.899999999999980,8/12/2012 0:00:00,3,52,7.700000000000000,10,11
1216,39.758000000000003,116.425000000000000,328.399999999999980,7/9/2011 0:00:00,3,55,10.600000000000000,10,11
1221,39.759000000000000,116.423000000000000,315.300000000000010,6/12/2007 0:00:00,3,57,6.900000000000000,10,11
1222,39.741999999999997,116.510000000000010,325.600000000000020,7/5/2013 0:00:00,3,69,12.600000000000000,10,11
1223,39.741999999999997,116.511000000000000,324.300000000000010,7/10/2014 0:00:00,3,71,8.400000000000000,10,11
1225,39.741999999999997,116.511000000000000,324.300000000000010,7/10/2014 0:00:00,3,71,8.400000000000000,10,11
1231,39.743000000000002,116.507000000000010,319.199999999999990,5/25/2013 0:00:00,5,65,12.199999999999999,10,13
1233,39.743000000000002,116.508000000000000,326.600000000000020,6/19/2013 0:00:00,3,80,13.100000000000000,10,11
1235,39.743000000000002,116.509000000000000,320.500000000000000,5/19/2014 0:00:00,5,67,7.500000000000000,10,13
1253,39.743000000000002,116.510000000000010,315.600000000000020,4/21/2014 0:00:00,3,56,6.600000000000000,10,11
1254,39.759999999999998,116.424000000000010,323.500000000000000,7/16/2008 0:00:00,3,68,11.600000000000000,10,11
1262,39.761000000000003,116.421000000000010,320.199999999999990,5/27/2007 0:00:00,3,57,7.200000000000000,10,11
1263,39.744000000000000,116.508000000000000,312.500000000000000,9/14/2013 0:00:00,3,55,11.300000000000001,10,11
1264,39.744000000000000,116.508000000000000,310.800000000000010,9/11/2013 0:00:00,3,26,7.300000000000000,10,11
1265,39.744000000000000,116.508000000000000,320.199999999999990,5/29/2013 0:00:00,3,72,8.300000000000001,10,11
1266,39.744000000000000,116.508000000000000,315.600000000000020,5/4/2013 0:00:00,3,60,6.800000000000000,10,11
1267,39.744000000000000,116.508000000000000,312.500000000000000,9/14/2013 0:00:00,3,55,11.300000000000001,10,11
1268,39.744000000000000,116.508000000000000,310.800000000000010,9/11/2013 0:00:00,3,26,7.300000000000000,10,11
1269,39.744000000000000,116.508000000000000,320.199999999999990,5/29/2013 0:00:00,3,72,8.300000000000001,10,11
1270,39.744000000000000,116.508000000000000,315.600000000000020,5/4/2013 0:00:00,3,60,6.800000000000000,10,11
1271,39.744000000000000,116.508000000000000,312.500000000000000,9/14/2013 0:00:00,3,55,11.300000000000001,10,11
1272,39.744000000000000,116.508000000000000,310.800000000000010,9/11/2013 0:00:00,3,26,7.300000000000000,10,11
1273,39.744000000000000,116.508000000000000,320.199999999999990,5/29/2013 0:00:00,3,72,8.300000000000001,10,11
1274,39.744000000000000,116.508000000000000,315.600000000000020,5/4/2013 0:00:00,3,60,6.800000000000000,10,11
1275,39.744000000000000,116.508000000000000,312.500000000000000,9/14/2013 0:00:00,3,55,11.300000000000001,10,11
1276,39.744000000000000,116.508000000000000,310.800000000000010,9/11/2013 0:00:00,3,26,7.300000000000000,10,11
1277,39.744000000000000,116.508000000000000,320.199999999999990,5/29/2013 0:00:00,3,72,8.300000000000001,10,11
1278,39.744000000000000,116.508000000000000,315.600000000000020,5/4/2013 0:00:00,3,60,6.800000000000000,10,11
