FID,latitude,longitude,brightness,acq_date,acq_time,confidence,frp,RASTERVALU,local_time
72,39.695999999999998,116.358999999999990,324.699999999999990,5/29/2006 0:00:00,5,68,13.5,10,13
73,39.695999999999998,116.358999999999990,324.699999999999990,5/29/2006 0:00:00,5,68,13.5,10,13
88,39.707999999999998,116.391000000000010,315.199999999999990,10/10/2005 0:00:00,5,63,16.3,10,13
95,39.749000000000002,116.383000000000000,318.399999999999980,4/14/2009 0:00:00,3,55,10.4,10,11
96,39.749000000000002,116.383000000000000,321.300000000000010,8/18/2014 0:00:00,3,48,13.7,10,11
97,39.749000000000002,116.383000000000000,318.399999999999980,4/14/2009 0:00:00,3,55,10.4,10,11
98,39.749000000000002,116.383000000000000,321.300000000000010,8/18/2014 0:00:00,3,48,13.7,10,11
117,39.743000000000002,116.512000000000000,320.199999999999990,6/26/2013 0:00:00,5,66,11.1,10,13
118,39.743000000000002,116.511000000000000,317.300000000000010,7/15/2014 0:00:00,3,31,10.2,10,11
119,39.743000000000002,116.511000000000000,317.300000000000010,7/15/2014 0:00:00,3,31,10.2,10,11
121,39.743000000000002,116.512000000000000,320.199999999999990,6/26/2013 0:00:00,5,66,11.1,10,13
126,39.744000000000000,116.511000000000000,315.600000000000020,6/2/2012 0:00:00,3,59,6.5,10,11
127,39.744000000000000,116.510000000000010,319.100000000000020,8/14/2014 0:00:00,5,71,9,10,13
129,39.744000000000000,116.511000000000000,315.600000000000020,6/2/2012 0:00:00,3,59,6.5,10,11
130,39.746000000000002,116.507000000000010,319.600000000000020,8/10/2012 0:00:00,3,71,14.1,10,11
132,39.756000000000000,116.462000000000000,326.899999999999980,6/17/2013 0:00:00,5,31,16.3,10,13
134,39.747999999999998,116.506000000000000,317.300000000000010,5/25/2013 0:00:00,3,68,13,10,11
135,39.747999999999998,116.506000000000000,318.300000000000010,8/18/2014 0:00:00,3,69,10.9,10,11
136,39.747999999999998,116.506000000000000,317.300000000000010,5/25/2013 0:00:00,3,68,13,10,11
137,39.747999999999998,116.506000000000000,318.300000000000010,8/18/2014 0:00:00,3,69,10.9,10,11
142,39.758000000000003,116.459999999999990,320.100000000000020,8/1/2006 0:00:00,5,52,8.5,10,13
143,39.771999999999998,116.408000000000000,316.100000000000020,4/14/2009 0:00:00,3,32,7.2,10,11
145,39.762999999999998,116.520000000000000,345.899999999999980,3/8/2013 0:00:00,3,93,64,10,11
162,39.735999999999997,116.782000000000000,317.699999999999990,7/22/2010 0:00:00,3,68,7.6,10,11
186,39.822000000000003,116.526000000000000,322.500000000000000,5/26/2005 0:00:00,5,53,10.9,10,13
262,39.835000000000001,116.547000000000000,326.199999999999990,8/4/2009 0:00:00,3,65,16.4,10,11
269,39.747000000000000,117.012000000000000,320.899999999999980,6/19/2008 0:00:00,5,66,10.4,10,13
271,39.832999999999998,116.590999999999990,316.399999999999980,6/12/2007 0:00:00,3,64,8.9,10,11
272,39.832999999999998,116.590999999999990,316.399999999999980,6/12/2007 0:00:00,3,64,8.9,10,11
273,39.832999999999998,116.590999999999990,316.399999999999980,6/12/2007 0:00:00,3,64,8.9,10,11
274,39.834000000000003,116.589000000000000,320.800000000000010,7/16/2006 0:00:00,5,73,10,10,13
286,39.820999999999998,116.772000000000010,325.500000000000000,6/14/2006 0:00:00,5,79,13.4,10,13
288,39.820999999999998,116.772000000000010,325.500000000000000,6/14/2006 0:00:00,5,79,13.4,10,13
290,39.822000000000003,116.773000000000000,319.899999999999980,5/19/2014 0:00:00,5,60,8,10,13
291,39.822000000000003,116.773000000000000,319.899999999999980,5/19/2014 0:00:00,5,60,8,10,13
292,39.822000000000003,116.773000000000000,319.899999999999980,5/19/2014 0:00:00,5,60,8,10,13
313,39.814999999999998,116.956999999999990,327.600000000000020,6/21/2005 0:00:00,6,81,39,10,14
328,40.268000000000001,114.886000000000000,323.800000000000010,10/25/2008 0:00:00,5,77,38.2,10,13
329,39.948000000000000,116.598000000000000,321.500000000000000,6/14/2012 0:00:00,4,74,23.6,10,12
330,39.948000000000000,116.598000000000000,321.500000000000000,6/14/2012 0:00:00,4,74,23.6,10,12
331,39.948000000000000,116.605000000000000,322.000000000000000,8/19/2012 0:00:00,3,59,15.2,10,11
332,39.948000000000000,116.605000000000000,322.000000000000000,8/19/2012 0:00:00,3,59,15.2,10,11
334,40.273000000000003,114.893000000000000,314.800000000000010,10/25/2008 0:00:00,5,62,27.5,10,13
335,39.969999999999999,116.540000000000010,323.899999999999980,6/15/2014 0:00:00,3,53,11,10,11
338,39.999000000000002,116.529000000000000,325.199999999999990,6/15/2014 0:00:00,3,47,12,10,11
349,40.081000000000003,116.284000000000010,314.199999999999990,9/11/2008 0:00:00,3,44,7.4,10,11
352,40.097000000000001,116.232000000000000,313.500000000000000,8/29/2013 0:00:00,5,27,8.5,10,13
355,40.061000000000000,116.465000000000000,310.199999999999990,10/2/2007 0:00:00,3,32,7.9,10,11
357,40.097999999999999,116.311000000000010,322.699999999999990,6/25/2010 0:00:00,5,47,9.7,10,13
358,40.073999999999998,116.435000000000000,318.800000000000010,4/18/2011 0:00:00,5,70,10.7,10,13
359,40.098999999999997,116.316000000000000,324.399999999999980,5/27/2011 0:00:00,5,44,11.5,10,13
362,40.103000000000002,116.306000000000000,315.800000000000010,9/7/2004 0:00:00,3,64,11.3,10,11
363,40.103000000000002,116.306000000000000,314.399999999999980,4/3/2005 0:00:00,3,61,9.1,10,11
364,40.103000000000002,116.306000000000000,315.800000000000010,9/7/2004 0:00:00,3,64,11.3,10,11
365,40.103000000000002,116.306000000000000,314.399999999999980,4/3/2005 0:00:00,3,61,9.1,10,11
366,40.100999999999999,116.316999999999990,313.000000000000000,4/3/2005 0:00:00,3,56,7.1,10,11
367,40.100999999999999,116.318000000000000,314.600000000000020,9/7/2004 0:00:00,3,62,9.8,10,11
368,40.073999999999998,116.458000000000000,317.500000000000000,4/27/2011 0:00:00,3,64,10.3,10,11
369,40.103000000000002,116.312000000000000,320.300000000000010,8/31/2007 0:00:00,3,72,12.2,10,11
370,40.103000000000002,116.311000000000010,317.699999999999990,8/31/2008 0:00:00,5,50,12.9,10,13
371,40.103000000000002,116.310000000000000,316.600000000000020,9/18/2008 0:00:00,3,66,11.2,10,11
372,40.103000000000002,116.311000000000010,317.699999999999990,8/31/2008 0:00:00,5,50,12.9,10,13
373,40.103000000000002,116.312000000000000,320.300000000000010,8/31/2007 0:00:00,3,72,12.2,10,11
374,40.079000000000001,116.436000000000010,316.800000000000010,4/30/2009 0:00:00,3,63,8.3,10,11
375,40.075000000000003,116.467000000000000,334.300000000000010,6/20/2010 0:00:00,3,66,21.5,10,11
376,40.104999999999997,116.315000000000000,320.300000000000010,5/13/2008 0:00:00,3,71,13.8,10,11
377,40.104999999999997,116.315000000000000,320.300000000000010,5/13/2008 0:00:00,3,71,13.8,10,11
378,40.104999999999997,116.316000000000000,320.399999999999980,8/15/2007 0:00:00,3,51,9.5,10,11
379,40.076000000000001,116.465000000000000,327.399999999999980,7/2/2012 0:00:00,3,47,15.8,10,11
380,40.103000000000002,116.327000000000000,318.300000000000010,5/13/2008 0:00:00,3,56,10.8,10,11
381,40.106000000000002,116.312000000000000,311.399999999999980,4/11/2008 0:00:00,3,48,10.2,10,11
382,40.104999999999997,116.319999999999990,324.100000000000020,6/4/2010 0:00:00,3,62,13.3,10,11
383,40.106000000000002,116.318000000000000,328.800000000000010,6/28/2011 0:00:00,5,46,17.8,10,13
384,40.106000000000002,116.319000000000000,319.199999999999990,8/12/2012 0:00:00,3,53,9.2,10,11
