FID,latitude,longitude,brightness,acq_date,acq_time,confidence,frp,RASTERVALU,local_time
0,39.192000000000000,115.849999999999990,311.800000000000010,10/11/2012 0:00:00,5,51,9,12,13
1,39.215000000000003,115.851000000000000,311.199999999999990,10/16/2014 0:00:00,3,47,12.8,12,11
2,39.232999999999997,115.789000000000000,306.399999999999980,6/17/2006 0:00:00,14,35,62.8,12,22
3,39.274999999999999,115.596000000000000,310.199999999999990,10/14/2005 0:00:00,3,31,7.6,12,11
4,39.238999999999997,115.791000000000000,306.100000000000020,6/17/2006 0:00:00,14,35,61.7,12,22
5,39.241999999999997,115.788000000000000,326.100000000000020,6/4/2014 0:00:00,5,49,12.6,12,13
6,39.244999999999997,115.791000000000000,322.800000000000010,6/20/2014 0:00:00,5,32,14.7,12,13
7,39.249000000000002,115.793000000000010,317.100000000000020,6/12/2013 0:00:00,3,62,9.7,12,11
8,39.243000000000002,115.828000000000000,307.000000000000000,6/17/2006 0:00:00,14,43,63.1,12,22
9,39.250999999999998,115.805000000000010,312.500000000000000,7/26/2009 0:00:00,3,21,8,12,11
10,39.250999999999998,115.805000000000010,312.500000000000000,7/26/2009 0:00:00,3,21,8,12,11
11,39.270000000000003,115.944999999999990,311.100000000000020,10/11/2012 0:00:00,5,46,10,12,13
12,39.381999999999998,115.434000000000000,313.899999999999980,2/10/2009 0:00:00,6,60,18.2,12,14
13,39.311999999999998,115.903000000000010,323.100000000000020,6/20/2014 0:00:00,5,66,15.2,12,13
14,39.311999999999998,115.925000000000000,320.500000000000000,10/30/2012 0:00:00,6,73,60.5,12,14
15,39.308000000000000,115.947000000000000,315.000000000000000,6/12/2013 0:00:00,3,63,7.9,12,11
16,39.268999999999998,116.291000000000000,311.899999999999980,10/7/2011 0:00:00,6,52,9.8,12,14
17,39.353999999999999,115.885000000000010,321.500000000000000,6/20/2014 0:00:00,5,74,15.5,12,13
18,39.371000000000002,115.855000000000000,315.100000000000020,1/25/2012 0:00:00,6,63,38.8,12,14
19,39.404000000000003,115.949000000000000,318.800000000000010,6/20/2014 0:00:00,5,38,11.6,12,13
20,39.411000000000001,115.934000000000000,317.500000000000000,6/20/2014 0:00:00,5,31,8.3,12,13
21,39.402000000000001,116.340000000000000,322.399999999999980,6/20/2014 0:00:00,5,68,16.5,12,13
22,39.482999999999997,115.974000000000000,310.500000000000000,10/15/2010 0:00:00,5,40,11.1,13,13
23,39.536999999999999,115.693000000000000,312.100000000000020,1/25/2012 0:00:00,6,53,34,12,14
24,39.472999999999999,116.041000000000000,327.500000000000000,6/20/2014 0:00:00,5,76,22.2,12,13
25,39.472999999999999,116.041000000000000,327.500000000000000,6/20/2014 0:00:00,5,76,22.2,12,13
26,39.430000000000000,116.288000000000000,320.899999999999980,6/20/2014 0:00:00,5,43,12.4,12,13
27,39.481999999999999,116.038000000000000,326.600000000000020,6/20/2014 0:00:00,5,67,20.3,12,13
28,39.481999999999999,116.038000000000000,326.600000000000020,6/20/2014 0:00:00,5,67,20.3,12,13
29,39.484000000000002,116.045000000000000,317.699999999999990,7/12/2013 0:00:00,5,43,13,12,13
30,39.484000000000002,116.045000000000000,317.699999999999990,7/12/2013 0:00:00,5,43,13,12,13
