FID,latitude,longitude,brightness,acq_date,acq_time,confidence,frp,RASTERVALU,local_time
11,38.851999999999997,115.659000000000010,323.500000000000000,6/15/2007 0:00:00,4,76,37.600000000000001,13,12
18,38.857999999999997,115.662000000000010,330.000000000000000,6/15/2007 0:00:00,5,83,14.500000000000000,13,13
30,38.896999999999998,115.552000000000010,322.600000000000020,8/9/2014 0:00:00,3,53,13.900000000000000,13,11
34,38.898000000000003,115.560000000000000,314.199999999999990,8/19/2012 0:00:00,3,28,7.600000000000000,13,11
46,38.898000000000003,115.617999999999990,325.800000000000010,6/15/2007 0:00:00,5,34,9.300000000000001,13,13
96,38.994000000000000,115.349000000000000,312.100000000000020,7/26/2009 0:00:00,3,35,7.300000000000000,13,11
97,38.994000000000000,115.349000000000000,318.000000000000000,7/28/2013 0:00:00,3,58,11.900000000000000,13,11
98,38.994000000000000,115.349000000000000,312.100000000000020,7/26/2009 0:00:00,3,35,7.300000000000000,13,11
99,38.994000000000000,115.349000000000000,318.000000000000000,7/28/2013 0:00:00,3,58,11.900000000000000,13,11
100,38.994999999999997,115.343999999999990,318.600000000000020,7/21/2011 0:00:00,5,58,11.199999999999999,13,13
101,38.939000000000000,115.641000000000010,330.100000000000020,6/23/2005 0:00:00,6,83,14.100000000000000,13,14
107,38.997000000000000,115.355000000000000,316.399999999999980,8/11/2009 0:00:00,3,60,9.300000000000001,13,11
109,38.997000000000000,115.351000000000000,318.000000000000000,8/24/2012 0:00:00,5,50,10.699999999999999,13,13
110,38.997000000000000,115.351000000000000,318.000000000000000,8/24/2012 0:00:00,5,50,10.699999999999999,13,13
114,38.997000000000000,115.355000000000000,316.399999999999980,8/11/2009 0:00:00,3,60,9.300000000000001,13,11
115,38.997999999999998,115.355999999999990,323.699999999999990,7/2/2010 0:00:00,5,59,9.500000000000000,13,13
121,38.999000000000002,115.355000000000000,322.800000000000010,7/16/2011 0:00:00,3,76,15.600000000000000,13,11
122,38.999000000000002,115.355000000000000,333.699999999999990,7/5/2013 0:00:00,3,86,29.199999999999999,13,11
123,38.999000000000002,115.355000000000000,319.300000000000010,5/5/2014 0:00:00,3,30,8.600000000000000,13,11
124,38.997999999999998,115.355999999999990,323.699999999999990,7/2/2010 0:00:00,5,59,9.500000000000000,13,13
126,38.999000000000002,115.355000000000000,322.800000000000010,7/16/2011 0:00:00,3,76,15.600000000000000,13,11
127,38.999000000000002,115.355000000000000,333.699999999999990,7/5/2013 0:00:00,3,86,29.199999999999999,13,11
128,38.999000000000002,115.355000000000000,319.300000000000010,5/5/2014 0:00:00,3,30,8.600000000000000,13,11
129,38.999000000000002,115.355000000000000,322.800000000000010,7/16/2011 0:00:00,3,76,15.600000000000000,13,11
130,38.999000000000002,115.355000000000000,333.699999999999990,7/5/2013 0:00:00,3,86,29.199999999999999,13,11
131,38.999000000000002,115.355000000000000,319.300000000000010,5/5/2014 0:00:00,3,30,8.600000000000000,13,11
132,38.999000000000002,115.355000000000000,322.800000000000010,7/16/2011 0:00:00,3,76,15.600000000000000,13,11
133,38.999000000000002,115.355000000000000,333.699999999999990,7/5/2013 0:00:00,3,86,29.199999999999999,13,11
134,38.999000000000002,115.355000000000000,319.300000000000010,5/5/2014 0:00:00,3,30,8.600000000000000,13,11
137,39.000999999999998,115.352999999999990,331.000000000000000,7/2/2012 0:00:00,3,84,24.000000000000000,13,11
138,39.000999999999998,115.354000000000000,326.500000000000000,6/11/2014 0:00:00,5,30,9.300000000000001,13,13
142,39.003999999999998,115.351000000000000,312.300000000000010,7/26/2009 0:00:00,3,28,7.600000000000000,13,11
143,39.003000000000000,115.357000000000000,319.199999999999990,8/9/2014 0:00:00,3,37,10.900000000000000,13,11
145,39.003999999999998,115.355000000000000,330.500000000000000,6/16/2012 0:00:00,3,80,14.000000000000000,13,11
147,39.006000000000000,115.352999999999990,317.000000000000000,8/6/2013 0:00:00,3,51,9.900000000000000,13,11
150,39.009999999999998,115.345000000000000,323.300000000000010,7/5/2013 0:00:00,3,52,13.699999999999999,13,11
151,39.008000000000003,115.357000000000000,322.000000000000000,7/5/2013 0:00:00,3,24,11.500000000000000,13,11
154,39.012000000000000,115.346000000000000,319.500000000000000,4/13/2012 0:00:00,3,57,8.300000000000001,13,11
161,39.020000000000003,115.361000000000000,312.399999999999980,8/20/2013 0:00:00,5,22,9.400000000000000,13,13
163,39.026000000000003,115.331999999999990,315.399999999999980,4/3/2007 0:00:00,6,63,6.800000000000000,13,14
164,39.018000000000001,115.397000000000010,312.699999999999990,10/9/2012 0:00:00,6,31,11.800000000000001,13,14
209,39.003999999999998,115.640000000000000,317.300000000000010,6/12/2013 0:00:00,3,63,10.800000000000001,13,11
241,38.972999999999999,115.840000000000000,310.100000000000020,8/18/2014 0:00:00,3,17,6.800000000000000,13,11
246,39.012999999999998,115.645000000000000,320.000000000000000,6/26/2004 0:00:00,3,72,9.199999999999999,13,11
252,39.033000000000001,115.559000000000000,316.899999999999980,6/19/2005 0:00:00,3,67,16.199999999999999,13,11
259,39.039000000000001,115.559000000000000,325.800000000000010,6/20/2005 0:00:00,5,59,13.199999999999999,13,13
262,39.023000000000003,115.672000000000000,331.500000000000000,6/17/2006 0:00:00,6,84,22.199999999999999,13,14
265,39.011000000000003,115.744000000000000,328.800000000000010,6/20/2005 0:00:00,5,58,15.400000000000000,13,13
267,39.015000000000001,115.724999999999990,326.899999999999980,6/15/2007 0:00:00,5,55,12.800000000000001,13,13
268,39.015999999999998,115.720000000000000,317.600000000000020,8/25/2014 0:00:00,3,29,10.699999999999999,13,11
