FID,latitude,longitude,brightness,acq_date,acq_time,confidence,frp,RASTERVALU,local_time
22,39.482999999999997,115.974000000000000,310.500000000000000,10/15/2010 0:00:00,5,40,11.1,13,13
31,39.484000000000002,116.050000000000000,331.500000000000000,6/20/2014 0:00:00,5,84,29.7,13,13
32,39.484000000000002,116.050000000000000,331.500000000000000,6/20/2014 0:00:00,5,84,29.7,13,13
35,39.485999999999997,116.053000000000000,319.100000000000020,6/12/2013 0:00:00,3,38,11.4,13,11
45,39.500000000000000,116.307000000000000,326.199999999999990,6/20/2014 0:00:00,5,79,23.1,13,13
47,39.500999999999998,116.308000000000010,321.699999999999990,6/12/2013 0:00:00,3,74,15,13,11
54,39.572000000000003,116.611999999999990,310.600000000000020,10/27/2011 0:00:00,5,41,15.8,13,13
64,39.558999999999997,116.810000000000000,320.699999999999990,6/15/2009 0:00:00,5,40,7,13,13
65,39.673999999999999,116.328999999999990,335.600000000000020,6/12/2013 0:00:00,3,84,29.4,13,11
91,39.692999999999998,116.560000000000000,315.899999999999980,8/18/2014 0:00:00,3,40,8.1,13,11
92,39.695999999999998,116.563999999999990,316.899999999999980,6/19/2008 0:00:00,5,60,8.9,13,13
105,39.725999999999999,116.555000000000010,322.000000000000000,7/22/2010 0:00:00,3,58,10.5,13,11
106,39.725999999999999,116.555000000000010,322.000000000000000,7/22/2010 0:00:00,3,58,10.5,13,11
109,39.741000000000000,116.498000000000000,321.199999999999990,6/26/2013 0:00:00,5,72,13,13,13
111,39.741000000000000,116.498000000000000,321.199999999999990,6/26/2013 0:00:00,5,72,13,13,13
128,39.776000000000003,116.348000000000000,311.500000000000000,4/3/2009 0:00:00,5,49,7.1,13,13
149,39.813000000000002,116.307000000000000,320.399999999999980,4/16/2008 0:00:00,5,72,11.2,13,13
152,39.799999999999997,116.382000000000010,323.699999999999990,5/29/2006 0:00:00,5,75,10.9,13,13
154,39.814999999999998,116.319000000000000,317.199999999999990,4/16/2008 0:00:00,5,67,6.8,13,13
155,39.817999999999998,116.311000000000010,324.399999999999980,8/20/2007 0:00:00,5,77,14,13,13
156,39.819000000000003,116.312000000000000,311.699999999999990,4/30/2007 0:00:00,5,50,6.4,13,13
157,39.819000000000003,116.312000000000000,311.699999999999990,4/30/2007 0:00:00,5,50,6.4,13,13
158,39.819000000000003,116.312000000000000,311.699999999999990,4/30/2007 0:00:00,5,50,6.4,13,13
159,39.822000000000003,116.319000000000000,319.699999999999990,4/1/2014 0:00:00,5,72,11.4,13,13
160,39.844000000000001,116.200999999999990,321.199999999999990,5/19/2010 0:00:00,3,67,10.8,13,11
161,39.822000000000003,116.319000000000000,319.699999999999990,4/1/2014 0:00:00,5,72,11.4,13,13
164,39.822000000000003,116.407000000000000,321.000000000000000,8/22/2007 0:00:00,3,71,9.8,13,11
171,39.871000000000002,116.218000000000000,312.100000000000020,9/17/2005 0:00:00,3,53,7.4,13,11
172,39.832000000000001,116.440000000000000,327.100000000000020,6/14/2006 0:00:00,5,61,10.6,13,13
182,39.895000000000003,116.153000000000010,310.300000000000010,3/28/2006 0:00:00,5,35,14.1,13,13
183,39.895000000000003,116.155000000000000,330.500000000000000,4/20/2007 0:00:00,3,83,32.1,13,11
184,39.895000000000003,116.153000000000010,310.300000000000010,3/28/2006 0:00:00,5,35,14.1,13,13
185,39.895000000000003,116.155000000000000,330.500000000000000,4/20/2007 0:00:00,3,83,32.1,13,11
187,39.895000000000003,116.153000000000010,310.300000000000010,3/28/2006 0:00:00,5,35,14.1,13,13
188,39.895000000000003,116.153000000000010,310.300000000000010,3/28/2006 0:00:00,5,35,14.1,13,13
189,39.895000000000003,116.155000000000000,330.500000000000000,4/20/2007 0:00:00,3,83,32.1,13,11
190,39.895000000000003,116.155000000000000,330.500000000000000,4/20/2007 0:00:00,3,83,32.1,13,11
191,39.895000000000003,116.155000000000000,330.500000000000000,4/20/2007 0:00:00,3,83,32.1,13,11
192,39.896999999999998,116.156000000000010,318.399999999999980,5/18/2005 0:00:00,3,70,22.8,13,11
193,39.896999999999998,116.156000000000010,318.399999999999980,5/18/2005 0:00:00,3,70,22.8,13,11
194,39.896999999999998,116.156000000000010,318.399999999999980,5/18/2005 0:00:00,3,70,22.8,13,11
195,39.899000000000001,116.143000000000000,314.399999999999980,4/13/2007 0:00:00,3,61,14.3,13,11
198,39.896999999999998,116.156000000000010,318.399999999999980,5/18/2005 0:00:00,3,70,22.8,13,11
199,39.896999999999998,116.156000000000010,318.399999999999980,5/18/2005 0:00:00,3,70,22.8,13,11
200,39.896999999999998,116.156000000000010,318.399999999999980,5/18/2005 0:00:00,3,70,22.8,13,11
201,39.896999999999998,116.156000000000010,318.399999999999980,5/18/2005 0:00:00,3,70,22.8,13,11
203,39.896999999999998,116.160000000000000,313.399999999999980,4/13/2007 0:00:00,3,58,12.6,13,11
204,39.896999999999998,116.161000000000000,310.899999999999980,5/15/2007 0:00:00,18,73,16.8,13,2
205,39.896999999999998,116.161000000000000,310.899999999999980,5/15/2007 0:00:00,18,73,16.8,13,2
208,39.899999999999999,116.153000000000010,313.699999999999990,4/7/2004 0:00:00,3,59,8.2,13,11
209,39.899999999999999,116.153000000000010,313.699999999999990,4/7/2004 0:00:00,3,59,8.2,13,11
210,39.899999999999999,116.153000000000010,313.699999999999990,4/7/2004 0:00:00,3,59,8.2,13,11
211,39.826999999999998,116.527000000000000,326.800000000000010,6/3/2013 0:00:00,5,27,12.7,13,13
212,39.826999999999998,116.527000000000000,326.800000000000010,6/3/2013 0:00:00,5,27,12.7,13,13
213,39.826999999999998,116.527000000000000,326.800000000000010,6/3/2013 0:00:00,5,27,12.7,13,13
214,39.902000000000001,116.147000000000010,311.699999999999990,6/1/2005 0:00:00,3,44,13.5,13,11
215,39.902000000000001,116.147000000000010,311.699999999999990,6/1/2005 0:00:00,3,44,13.5,13,11
217,39.899999999999999,116.161000000000000,305.500000000000000,3/2/2005 0:00:00,19,31,30.8,13,3
218,39.899999999999999,116.161000000000000,323.300000000000010,6/1/2005 0:00:00,3,76,31.4,13,11
219,39.899999999999999,116.161000000000000,305.500000000000000,3/2/2005 0:00:00,19,31,30.8,13,3
