TimeCST, WSMPH, WindDirDegrees, DateUTC, lat, lon, stn
12:00 PM,17.9,300,2004-02-01 04:00:00,40.07,116.59,ZBAA
1:00 PM,20.1,300,2004-02-01 05:00:00,40.07,116.59,ZBAA
3:00 PM,20.1,300,2004-02-01 07:00:00,40.07,116.59,ZBAA
3:00 AM,6.7,330,2004-02-01 19:00:00,40.07,116.59,ZBAA
11:00 AM,22.4,310,2004-02-02 03:00:00,40.07,116.59,ZBAA
12:00 PM,17.9,310,2004-02-02 04:00:00,40.07,116.59,ZBAA
2:00 PM,17.9,290,2004-02-02 06:00:00,40.07,116.59,ZBAA
3:00 PM,17.9,300,2004-02-02 07:00:00,40.07,116.59,ZBAA
4:00 PM,15.7,300,2004-02-02 08:00:00,40.07,116.59,ZBAA
11:00 PM,8.9,310,2004-02-02 15:00:00,40.07,116.59,ZBAA
11:00 AM,17.9,290,2004-02-03 03:00:00,40.07,116.59,ZBAA
1:00 PM,22.4,310,2004-02-03 05:00:00,40.07,116.59,ZBAA
3:00 PM,17.9,310,2004-02-03 07:00:00,40.07,116.59,ZBAA
4:00 PM,15.7,290,2004-02-03 08:00:00,40.07,116.59,ZBAA
10:00 PM,6.7,320,2004-02-03 14:00:00,40.07,116.59,ZBAA
11:00 AM,20.1,310,2004-02-04 03:00:00,40.07,116.59,ZBAA
12:00 PM,11.2,320,2004-02-04 04:00:00,40.07,116.59,ZBAA
2:00 PM,6.7,10,2004-02-04 06:00:00,40.07,116.59,ZBAA
3:00 PM,15.7,310,2004-02-04 07:00:00,40.07,116.59,ZBAA
11:00 AM,15.7,290,2004-02-05 03:00:00,40.07,116.59,ZBAA
1:00 PM,17.9,280,2004-02-05 05:00:00,40.07,116.59,ZBAA
2:00 PM,20.1,300,2004-02-05 06:00:00,40.07,116.59,ZBAA
4:00 PM,13.4,320,2004-02-05 08:00:00,40.07,116.59,ZBAA
10:00 PM,6.7,290,2004-02-05 14:00:00,40.07,116.59,ZBAA
12:00 AM,4.5,270,2004-02-05 16:00:00,40.07,116.59,ZBAA
2:00 AM,13.4,290,2004-02-05 18:00:00,40.07,116.59,ZBAA
10:00 AM,8.9,320,2004-02-06 02:00:00,40.07,116.59,ZBAA
12:00 PM,22.4,320,2004-02-06 04:00:00,40.07,116.59,ZBAA
1:00 PM,22.4,320,2004-02-06 05:00:00,40.07,116.59,ZBAA
2:00 PM,20.1,330,2004-02-06 06:00:00,40.07,116.59,ZBAA
3:00 PM,17.9,330,2004-02-06 07:00:00,40.07,116.59,ZBAA
11:00 PM,6.7,360,2004-02-06 15:00:00,40.07,116.59,ZBAA
2:00 AM,Calm,0,2004-02-06 18:00:00,40.07,116.59,ZBAA
3:00 AM,2.2,10,2004-02-06 19:00:00,40.07,116.59,ZBAA
11:00 AM,6.7,240,2004-02-07 03:00:00,40.07,116.59,ZBAA
1:00 PM,20.1,270,2004-02-07 05:00:00,40.07,116.59,ZBAA
2:00 PM,22.4,280,2004-02-07 06:00:00,40.07,116.59,ZBAA
4:00 PM,17.9,280,2004-02-07 08:00:00,40.07,116.59,ZBAA
10:00 PM,6.7,250,2004-02-07 14:00:00,40.07,116.59,ZBAA
12:00 AM,11.2,300,2004-02-07 16:00:00,40.07,116.59,ZBAA
2:00 AM,20.1,320,2004-02-07 18:00:00,40.07,116.59,ZBAA
12:00 PM,4.5,30,2004-02-08 04:00:00,40.07,116.59,ZBAA
1:00 PM,4.5,0,2004-02-08 05:00:00,40.07,116.59,ZBAA
3:00 PM,4.5,50,2004-02-08 07:00:00,40.07,116.59,ZBAA
11:00 PM,4.5,110,2004-02-08 15:00:00,40.07,116.59,ZBAA
12:00 AM,4.5,100,2004-02-08 16:00:00,40.07,116.59,ZBAA
3:00 AM,2.2,150,2004-02-08 19:00:00,40.07,116.59,ZBAA
11:00 AM,2.2,40,2004-02-09 03:00:00,40.07,116.59,ZBAA
12:00 PM,2.2,0,2004-02-09 04:00:00,40.07,116.59,ZBAA
1:00 PM,4.5,130,2004-02-09 05:00:00,40.07,116.59,ZBAA
2:00 PM,4.5,0,2004-02-09 06:00:00,40.07,116.59,ZBAA
4:00 PM,2.2,90,2004-02-09 08:00:00,40.07,116.59,ZBAA
10:00 PM,2.2,30,2004-02-09 14:00:00,40.07,116.59,ZBAA
2:00 AM,2.2,20,2004-02-09 18:00:00,40.07,116.59,ZBAA
4:00 AM,4.5,340,2004-02-09 20:00:00,40.07,116.59,ZBAA
12:00 PM,2.2,0,2004-02-10 04:00:00,40.07,116.59,ZBAA
1:00 PM,4.5,310,2004-02-10 05:00:00,40.07,116.59,ZBAA
